|name,ra,dec,parallax,spect_type,vmag,bv_color,Mvmag,|class
|HIP 11644,02 30 13.6739,-25 11 11.462,9.39,DAn...,6.5,0.294,1.363327961,|WHITE DWARF D A
|HIP 97394,19 47 40.5055,-42 00 26.041,9.11,DB:p,10.32,-0.067,5.117591885,|WHITE DWARF D B
|HIP 50581,10 19 56.6337,-08 41 55.963,3.46,DAe,10.74,-0.098,3.435380494,|WHITE DWARF D A
|HIP 80300,16 23 33.7799,-39 13 46.164,78.04,DA,11.01,-0.165,10.4715863,|WHITE DWARF D A
|HIP 52181,10 39 36.7291,+43 06 09.472,2.74,DA:,11.21,-0.328,3.398752814,|WHITE DWARF D A
|HIP 14754,03 10 30.9560,-68 36 02.478,98.5,DA,11.39,0.025,11.35718115,|WHITE DWARF D A
|HIP 51280,10 28 27.2777,+05 48 56.908,27.24,DA:,11.49,1.413,8.666035516,|WHITE DWARF D A
|HIP 57367,11 45 39.2635,-64 50 26.427,216.4,DC:,11.5,0.196,13.17628628,|WHITE DWARF D C
|HIP 101516,20 34 22.1443,+25 03 54.683,67.65,DA,11.53,-0.097,10.681339,|WHITE DWARF D A
|HIP 115195,23 19 58.4044,-05 09 56.164,5.59,DA:,11.86,-0.331,5.597059039,|WHITE DWARF D A
|HIP 23692,05 05 30.6057,+52 49 52.739,14.53,DAw...,11.86,-0.34,7.671328071,|WHITE DWARF D A
|HIP 32560,06 47 38.1584,+37 31 05.278,64.91,DAn,12.06,-0.098,11.12155805,|WHITE DWARF D A
|HIP 5355,01 08 26.7796,-32 43 11.645,1.08,DA:,12.23,-0.23,2.397118777,|WHITE DWARF D A
|HIP 82257,16 48 25.4833,+59 03 25.267,91.13,DA,12.24,0.16,12.03830685,|WHITE DWARF D A
|HIP 95071,19 20 34.9592,-07 39 58.648,89.08,DAw...,12.28,0.07,12.02890104,|WHITE DWARF D A
|HIP 65877,13 30 14.2930,-08 34 25.331,55.5,DA,12.31,0.026,11.03146492,|WHITE DWARF D A
|HIP 102207,20 42 34.5296,-20 04 35.091,47.39,DAw,12.38,-0.199,10.75843354,|WHITE DWARF D A
|HIP 12031,02 35 07.5459,+03 43 56.750,13.44,DAwe...,12.41,-0.201,8.051996344,|WHITE DWARF D A
|HIP 8709,01 52 02.9581,+47 00 05.582,63.08,DAs,12.44,0.17,11.43945842,|WHITE DWARF D A
|HIP 56662,11 37 05.2036,+29 47 58.391,65.28,DA,12.49,-0.072,11.56390073,|WHITE DWARF D A
|HIP 107968,21 52 25.3700,+02 23 22.207,39.84,DA:,12.74,-0.011,10.74159665,|WHITE DWARF D A
|HIP 11650,02 30 16.5823,+05 15 50.906,41.15,DA,12.79,-0.056,10.8618492,|WHITE DWARF D A
|HIP 66578,13 38 51.1726,+70 17 07.848,40.33,DA:,12.79,-0.112,10.81814111,|WHITE DWARF D A
